見出し,表記
いじ,意地
いじ,維持
いじ,遺児
いしうす,石×臼
いしがき,石垣
いしがけ,石×崖
いしき,意識
いじぎたない,意地汚い
いしけり,石蹴り
いじける,
いしころ,石ころ
いしずえ,礎
いしだたみ,石畳
いしだん,石段
いしつ,異質
いじっぱり,意地っ張り
いしどうろう,石灯×篭
いしばい,石灰
いしばし,石橋
いじばる,意地張る
いしぼとけ,石仏
いじめ,×苛め
いじめる,×苛める
いしや,石屋
いしゃ,医者
いしゃ,慰謝・慰×藉
いしゅ,異種
いじゅう,移住
いしゅく,×萎縮
いじゅつ,医術
いしょ,遺書
いしょう,衣装・衣×裳
いしょう,意匠
いじょう,以上・×已上
いじょう,異常
いしょく,衣食
いしょく,委嘱
いしょく,異色
いしょく,移植
いしょくじゅう,衣食住
いじる,×弄る
いじわる,意地悪
いしん,威信
いじん,異人
いじん,偉人
いしんでんしん,以心伝心
いす,×椅子
いずこ,
いずみ,泉
イズム,ism
いずれ,△何れ・×孰れ
いすわり,居座り・居×坐り・居据わり
いすわる,居座る・居×坐る・居据わる
いせい,威勢
いせい,異性
いせき,遺跡・遺×蹟
いせつ,異説
いぜん,以前
いぜん,依然
いそ,×磯
いそいそ,
いそうろう,居候
いそがしい,忙しい
いそぎ,急ぎ
いそぎあし,急ぎ足
いそぎんちゃく,×磯×巾着
いそぐ,急ぐ
いぞく,遺族
いそしむ,△勤しむ
いそべ,×磯辺
いぞん,異存
いそん,依存
いた,板
いたい,痛い
いたい,遺体
いだい,偉大
いたいたしい,痛痛しい
いたく,委託
いだく,抱く・△懐く
いたしかた,致し方
いたす,致す
いたずら,△徒
いたずら,〈悪戯〉
いただき,頂
いただきます,×戴きます
いただく,頂く・×戴く
いたち,×鼬
いたって,至って
いたで,痛手
いたどり,〈×虎杖〉
いたのま,板の間
いたばり,板張り
いたべい,板塀
いたましい,痛ましい
いたみ,痛み・傷み・悼み
いたみいる,痛み入る
いたむ,痛む・傷む
いたむ,悼む
いためる,×炒める
いためる,痛める・傷める
いたり,至り
イタリア,〔伊〕Italia
いたる,至る・△到る
いたわしい,△労しい
いたわり,△労り
いたわる,△労る
いち,一
いち,市
いち,位置
いちいち,一一
いちえん,一円
いちおう,一応
いちがいに,一概に
いちがつ,一月
いちげい,一芸
いちげん,一言
いちご,×苺・×莓
いちご,一期
いちごん,一言
いちじ,一次
いちじ,一時
いちじく,〔波〕〈無花果〉
いちじゅん,一巡
いちじるしい,著しい
いちず,一△途
いちぞく,一族
いちぞん,一存
いちだいじ,一大事
いちだん,一団
いちだん,一段
いちだんらく,一段落
いちど,一度
いちどう,一同
いちどきに,一時に
いちどく,一読
いちどに,一度に
いちにち,一日
いちにん,一任
いちにんしょう,一人称
いちねん,一念
いちねんじゅう,一年中
いちねんせい,一年生
いちば,市場
いちはやく,△逸早く
いちばん,一番
いちばんのり,一番乗り
いちぶ,一部
いちぶしじゅう,一部始終
いちぶぶん,一部分
いちべつ,一別
いちぼう,一望
いちまつ,一抹
いちめい,一命
いちめん,一面
いちめんしき,一面識
いちもく,一目
いちもくさん,一目散
いちもん,一門
いちもんじ,一文字
いちもんなし,一文無し
いちやく,一躍
いちやづけ,一夜漬け
いちゅう,意中
いちよう,一様
いちょう,胃腸
いちょう,〈銀×杏〉・〈公孫樹〉・〈×鴨脚〉
いちらん,一覧
いちらんひょう,一覧表
いちり,一利
いちり,一理
いちりいちがい,一利一害
いちりつ,一律
いちりゅう,一流
いちれん,一連
いちろ,一路
いつ,〈何時〉
いつか,五日
いつか,〈何時〉か
いっか,一家
いっかく,一角
いっかつ,一括
いっかな,
いっかん,一貫
いっき,一気
いっきうち,一騎討ち
いっきょ,一挙
いっきょいちどう,一挙一動
いつくしみ,慈しみ
いつくしむ,慈しむ
いっけい,一計
いっけん,一件
いっけん,一見
いっこ,一個・一△箇
いっこう,一行
いっこう,一考
いっこう,一向
いっこく,一刻
いつごろ,〈何時〉頃
いっさい,一切
いっさいがっさい,一切合切・一切合財
いっさくじつ,一昨日
いっさん,逸散・一散
いっさんかたんそ,一酸化炭素
いつしか,〈何時〉しか
いっしき,一式
いっしゅ,一種
いっしゅう,一周
いっしゅん,一瞬
いっしょ,一緒
いっしょう,一生
いっしょう,一笑
いっしょうがい,一生涯
いっしょうけんめい,一生懸命
いっしん,一心
いっしん,一新
いっしん,一身
いっしんふらん,一心不乱
いっすい,一睡
いっする,逸する
いっすんぼうし,一寸法師
いっせい,一世
いっせい,一斉
いっそ,
いっそう,一掃
いっそう,一層
いっそくとび,一足飛び
いったい,一体
いったい,一帯
いったん,一×旦
いったん,一端
いっち,一致
いっちょう,一朝
いっちょくせん,一直線
いつつ,五つ
いって,一手
いってい,一定
いってつ,一徹
いつでも,〈何時〉でも
いってん,一点
いってん,一転
いってんばり,一点張り
いっとう,一等
